Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
230092,Airplane,EPPLEY AIRFIELD,< 1000 ft,CL-RJ100/200,1,1,None,28/03/2005 0:00,No damage,PINNACLE,Nebraska,Taxi,None,FALSE,FALSE,PILOT REPTD HITTING BIRD AT INTXN OF TWY D AND A. SPECIES UNKN. NO REMAINS FOUND. NO DMG.,Small,Some Cloud,Unknown bird - small,Y,0,0,0,No
230117,Airplane,SALT LAKE CITY INTL,< 1000 ft,B-737-300,2 to 10,8,None,8/06/2005 0:00,No damage,SOUTHWEST AIRLINES,Utah,Climb,None,FALSE,FALSE,HIT AN UNKN # OF SML BIRDS ON DEPTR. NO DMG REPTD.,Small,Some Cloud,Unknown bird - small,N,0,500,0,Yes
230118,Airplane,DALLAS LOVE FIELD ARPT,< 1000 ft,B-737-700,2 to 10,6,None,27/04/2005 0:00,No damage,SOUTHWEST AIRLINES,Texas,Take-off run,None,FALSE,FALSE,"1 BIRD HIT #1 ENG FAN, 1 HIT L FLAP. NO DMG.",Small,Some Cloud,Unknown bird - small,N,0,0,0,Yes
230122,Airplane,FORT SMITH MUNICIPAL ARPT,< 1000 ft,C-560,2 to 10,10,None,28/10/2004 0:00,No damage,BUSINESS,Arkansas,Approach,None,FALSE,FALSE,HIT 4 SML BLACK BIRDS. ASKED FOR DMG REPT AS A/C TAXIED TO HANGER. DID NOT CALL BACK.,Small,Some Cloud,Unknown bird - small,Y,0,60,0,No
230124,Airplane,BISHOP INTL FLINT,< 1000 ft,SAAB-340,1,1,None,22/09/2004 0:00,No damage,CHICAGO EXPRESS,Michigan,Landing Roll,None,FALSE,FALSE,NO DMG,Small,No Cloud,Unknown bird - small,N,0,0,0,No
230125,Airplane,WESTCHESTER COUNTY ARPT,< 1000 ft,CL-RJ700,1,1,None,2/03/2005 0:00,No damage,AMERICAN AIRLINES,New York,Approach,None,TRUE,FALSE,"AS A/C LANDED, PILOT NOTIFIED GROUND THAT THEY MAY HAVE HAD A BIRDSTRIKE BUT WERE UNAWARE. CARCASS FOUND JUST NORTH OF SOUTH PERIMETER FENCE. SML BLOOD MARK UNDER CO/P WINDSHDL FOUND. NO DMG.",Large,Some Cloud,Canada goose,Y,0,150,0,No
230132,Airplane,NEW ORLEANS INTL,< 1000 ft,B-737-300,1,1,None,28/06/2005 0:00,No damage,CONTINENTAL AIRLINES,Louisiana,Approach,None,TRUE,FALSE,NO DMG,Small,Some Cloud,Mourning dove,Y,0,25,0,Yes
230136,Airplane,TAMPA INTL,< 1000 ft,B-757-200,2 to 10,10,Precautionary Landing,17/05/2005 0:00,Caused damage,DELTA AIR LINES,Florida,Climb,None,FALSE,FALSE,SLIGHT DMG TO UPPER RT PART OF ENG NACELLE. SLT DMG TO WING LE OTBD OF RT ENG. LOSS OF POWER ON #2 ENG.,Medium,Some Cloud,Unknown bird - medium,N,0,200,0,Yes
230140,Airplane,SALT LAKE CITY INTL,< 1000 ft,MD-90-30,2 to 10,10,None,3/10/2004 0:00,Caused damage,DELTA AIR LINES,Utah,Approach,None,TRUE,TRUE,"PIC REPTD HEARING MULTIPLE THUMPS ON APCH. LRG DENT IN LE OF RT WING, SOME DMG TO TE FLAP, 2 BROKEN HYDRAULIC LINES ON RT MAIN GAR, BROKEN LIGHT ON RT WING & SOME EVIDENCE OF INGESTION IN RT ENG. A/C WAS TAKEN OUT OF SERVICE. ID BY SMITHSONIAN FAA 886. PI",Medium,No Cloud,Northern shoveler,N,0,"1,000",0,No
230144,Airplane,KLAMATH FALLS INTL,< 1000 ft,DHC8 DASH 8,2 to 10,5,None,5/05/2004 0:00,No damage,HORIZON AIR,Oregon,Approach,None,TRUE,TRUE,NO DMG. APPEARS 2 BIRDS HIT. PARTS RECOVERED. ID BY SMITHSONIAN FAA 726. ADDITIONAL 3 CARCASSES FOUND ON PVMNT BUT DO NOT SHOW SIGNS OF IMPACT.,Small,Some Cloud,Red-winged blackbird,N,0,80,0,No
230145,Airplane,PORTLAND INTL (OR),< 1000 ft,CITATIONJET,1,1,None,27/08/2004 0:00,Caused damage,BUSINESS,Oregon,Climb,None,TRUE,FALSE,DENT IN VERTICAL FIN.,Medium,No Cloud,Unknown bird - medium,N,"22,851",750,0,No
230150,Airplane,LONG ISLAND MAC ARTHUR,< 1000 ft,IAI-1124,1,1,None,26/07/2005 0:00,No damage,BUSINESS,New York,Landing Roll,None,FALSE,FALSE,ATC CALLED ARFF . FOUND CARCASS. HIW LWR L LDG GEAR.,Small,No Cloud,Unknown bird - small,N,0,0,0,No
230160,Airplane,PORTLAND INTL (OR),< 1000 ft,DHC8 DASH 8,1,1,None,27/08/2004 0:00,No damage,HORIZON AIR,Oregon,Take-off run,None,TRUE,FALSE,,Small,Some Cloud,Barn swallow,Y,0,0,0,No
230165,Airplane,PORTLAND INTL (OR),> 1000 ft,B-737-800,1,1,None,21/10/2004 0:00,No damage,DELTA AIR LINES,Oregon,Climb,Rain,FALSE,FALSE,"DURING CLIMB, IN PRECIP OR CLOUDS, BRIEFLY SAW BIRD JUST BEFORE IMPACT. HIT ABOVE AOA VANE ON CAPT'S SIDE. NO DMG.  BIRD REPTD AS OWL?",Medium,Overcast,Unknown bird - medium,N,0,"7,000",0,Yes
230166,Airplane,KAPALUA ARPT,< 1000 ft,DHC8 DASH 8,1,1,None,27/09/2004 0:00,No damage,ISLAND AIR,Hawaii,Landing Roll,None,FALSE,FALSE,SCUFF MARKS ON NOSE. REPAIR COST WAS REPORTED AS $1000 BUT NO DAMAGE WAS INDICATED. PHONE CALL TO PERSON WHO REPTD COST SHOWED IT WAS IN ERROR.,Small,Some Cloud,Unknown bird - small,Y,0,0,0,No
230169,Airplane,PORTLAND INTL (OR),< 1000 ft,B-737-300,1,1,None,19/11/2004 0:00,No damage,SOUTHWEST AIRLINES,Oregon,Take-off run,None,FALSE,FALSE,"ON T/O, V1 PLUS 4 KNOTS, SML BIRD HIT CAPT'S WINDSCREEN. ALL SYSTEMS NORMAL.",Small,Overcast,Unknown bird - small,N,0,0,0,Yes
230177,Airplane,LOUISVILLE INTL ARPT,> 1000 ft,A-300,1,1,None,18/05/2005 0:00,No damage,UPS AIRLINES,Kentucky,Approach,None,FALSE,FALSE,NO DMG TO FUSELAGE. HIT L SIDE AFT OF UPPER PITOT TUBE. EVENT 5730. ALT REPTD IN MSL. CONVERTED TO AGL APPROX.,Small,No Cloud,Unknown bird - small,N,0,"2,500",0,No
230178,Airplane,CHICAGO O'HARE INTL ARPT,< 1000 ft,A-340,1,1,None,20/10/2004 0:00,No damage,LUFTHANSA,Illinois,Approach,None,FALSE,FALSE,,Medium,Some Cloud,Unknown bird - medium,N,0,"1,000",0,No
230180,Airplane,DAVID WAYNE HOOKS MEMORIAL ARPT,< 1000 ft,C-195,1,1,Precautionary Landing,19/07/2005 0:00,Caused damage,PRIVATELY OWNED,Texas,Approach,None,FALSE,FALSE,SML DENT ON RT WINGTIP LEADING EDGE. ENG = JACOBS R755A (NO ICAO CODE),Small,Some Cloud,Unknown bird - small,N,0,25,0,No
230181,Airplane,ABRAHAM LINCOLN CAPITAL ARPT,< 1000 ft,CL-RJ100/200,2 to 10,5,None,15/09/2005 0:00,No damage,AIR WISCONSIN AIRLINES,Illinois,Landing Roll,Rain,TRUE,FALSE,,Small,Overcast,House sparrow,N,0,0,0,No
230182,Airplane,GREATER PITTSBURGH,< 1000 ft,A-320,1,1,None,15/09/2005 0:00,No damage,AMERICA WEST AIRLINES,Pennsylvania,Approach,None,FALSE,FALSE,"ATIS WARNING. # STRUCK NOT REPTD, ASSUME 1, SAME AS # SEEN.  TRACON REPTD STRIKE TO OPS. NO FURTHER INFO GIVEN.",Medium,Some Cloud,Unknown bird - medium,Y,0,600,0,No
230191,Airplane,SALISBURY-WICOMICO,< 1000 ft,PILATUS PC12,1,1,None,10/06/2005 0:00,No damage,BUSINESS,Maryland,Landing Roll,None,FALSE,FALSE,NO DMG,Large,No Cloud,Turkey vulture,N,0,0,0,No
230192,Airplane,NASHVILLE INTL,< 1000 ft,B-737-700,1,1,None,16/08/2005 0:00,No damage,SOUTHWEST AIRLINES,Tennessee,Climb,Rain,TRUE,FALSE,ATIS WARNING.,Small,Overcast,Unknown bird - small,Y,0,250,0,Yes
230202,Airplane,ORLANDO INTL,< 1000 ft,B-767,1,1,None,31/01/2006 0:00,No damage,DELTA AIR LINES,Florida,Landing Roll,None,FALSE,FALSE,"# STRUCK NOT REPTD, ASSUME 1.",Medium,Some Cloud,Unknown bird - medium,Y,0,0,0,Yes
230203,Airplane,JAMES M COX DAYTON INTL,< 1000 ft,EMB-145,1,1,None,30/09/2004 0:00,No damage,MESA AIRLINES,Ohio,Approach,Fog,FALSE,FALSE,,Medium,Overcast,Unknown bird - medium,N,0,200,0,No
230204,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,BE-1900,1,1,Precautionary Landing,27/10/2004 0:00,No damage,COMMUTAIR,Kentucky,Take-off run,None,FALSE,FALSE,ATIS WARNING.,Medium,Overcast,Unknown bird - medium,Y,0,0,0,No
230206,Airplane,ATLANTA INTL,< 1000 ft,B-717-200,1,1,None,20/02/2005 0:00,No damage,AIRTRAN AIRWAYS,Georgia,Approach,None,FALSE,FALSE,HIT C/ WINDOW. INSPN. NO DMG.,Small,Some Cloud,Unknown bird - small,N,0,800,0,No
230215,Airplane,BUSH FLD,> 1000 ft,CITATION II,1,1,None,31/08/2004 0:00,No damage,BUSINESS,Georgia,Approach,None,FALSE,FALSE,SML BIRD STRUCK UNDER RT SIDE OF OSE. REMNANTS HIT A DRAIN LINE. NO APPARENT DMG.,Small,Overcast,Unknown bird - small,N,0,"1,500",0,No
230218,Airplane,DETROIT METRO WAYNE COUNTY ARPT,< 1000 ft,B-737-700,1,1,None,9/07/2005 0:00,No damage,SOUTHWEST AIRLINES,Michigan,Approach,None,FALSE,FALSE,POST FLT INSPN BY AIRCREW & CONTRACT MX CONFIRMED NO DMG.,Small,No Cloud,Unknown bird - small,N,0,"1,000",0,Yes
230220,Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-80,1,1,None,25/10/2004 0:00,No damage,AMERICAN AIRLINES,Texas,Landing Roll,Rain,TRUE,FALSE,1 CARCASS REMOVED IN PIECES,Large,Overcast,Coyote,Y,0,0,0,No
230231,Airplane,BALTIMORE WASH INTL,< 1000 ft,B-737-300,1,1,None,11/07/2004 0:00,No damage,SOUTHWEST AIRLINES,Maryland,Climb,None,FALSE,FALSE,NO DMG,Small,Some Cloud,Unknown bird - small,Y,0,50,0,Yes
230239,Airplane,WASHINGTON DULLES INTL ARPT,> 1000 ft,CL-RJ100/200,1,1,None,30/09/2004 0:00,No damage,MESA AIRLINES,DC,Climb,None,FALSE,FALSE,HIT NEAR CAPT'S WINDSHLD. NO DMG SUSPECTED,Medium,No Cloud,Unknown bird - medium,Y,0,"3,100",0,No
230240,Airplane,PHOENIX-MESA GATEWAY,< 1000 ft,C-500,1,1,Precautionary Landing,11/10/2004 0:00,No damage,BUSINESS,Arizona,Approach,None,FALSE,FALSE,"PILOT HEARD STRIKE, FELT IT WAS UNDER THE FUSELAGE.",Medium,No Cloud,Unknown bird - medium,N,0,200,0,No
230245,Airplane,LEHIGH VALLEY INTL,< 1000 ft,CL-RJ100/200,1,1,None,25/06/2004 0:00,No damage,COMAIR AIRLINES,Pennsylvania,Approach,None,FALSE,FALSE,ATIS WARNING. POSSIBLE BLACKBIRD. PILOT REPTD NO DMG.,Small,No Cloud,Unknown bird - small,Y,0,200,0,No
