Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
309673,Airplane,DENVER INTL AIRPORT,< 1000 ft,A-319,2 to 10,9,None,10/01/2011 0:00,No damage,FRONTIER AIRLINES,Colorado,Climb,None,TRUE,FALSE,"AT ROTATION, FLEW THRU A FLOCK OF SML BIRDS WITH AT LEAST 1 STRIKE. FLEW THRU ANOTHER FLOCK OF SIMILAR BIRDS AT APPROX 50 AGL ON INITIAL CLIMB WITH MORE STRIKES. ENG AND SYSTEMS WERE NORMAL TO CONTD TO DEST. POST FLT INSPN FOUND 5 SDTRIKES. 4 ON  NOSE/RAD",Small,No Cloud,Horned lark,N,0,50,0,No
309677,Airplane,SACRAMENTO INTL,> 1000 ft,B-737-700,2 to 10,4,Precautionary Landing,12/01/2011 0:00,Caused damage,ALASKA AIRLINES,California,Climb,None,TRUE,TRUE,"ID BY SMITHSONIAN. DURING INITIAL CLIMB, FELT A SMALL BUMP IN THE AIRFRAME. WE DISCUSSED THE POSSIBILITY OF A BIRDSTRIKE OR SOMETHING IN THE GALLEY. NO UNUSUAL ENG OR SYSTEM INDICATIONS TO WE CONTD TO CLIMB. SEVERAL MINUTES LATER WE SMELLED AN UNUSUAL ODO",Medium,No Cloud,Northern pintail,Y,0,"2,000",0,Yes
309682,Airplane,TONCONTIN INTL,< 1000 ft,B-757-200,1,1,None,13/01/2011 0:00,Caused damage,AMERICAN AIRLINES,N/A,Climb,None,TRUE,TRUE,LEADING EDGE OF WING DAMAGED. PHOTOS. PAX SAID THE BIRD WAS VISIBLE DURING THE ENTIRE FLT. A PILOT CAME OUT OF THE COCKPIT TO LOOK.,Large,No Cloud,Black vulture,Y,"80,267",100,0,Yes
309684,Airplane,DENVER INTL AIRPORT,< 1000 ft,A-320,2 to 10,3,None,13/01/2011 0:00,No damage,FRONTIER AIRLINES,Colorado,Climb,None,FALSE,FALSE,"ON ROTATION, A LARGE FLOCK OF BLACK COLORED BIRDS TOOK OFF AND CROSSED FLIGHT PATH. SEVERAL THUMPS WERE HEARD. ALL INDICATIONS NORMAL. FLT CONTD TO DEST. POST FLT REVEALED 3 BLOOD SPLATS. MX NOTIFIED. I DO NOT KNOW IF ANY DAMAGE WAS FOUND. (DATA ENTRY NOT",Small,No Cloud,Horned lark,N,0,100,0,No
309687,Airplane,SALT LAKE CITY INTL,< 1000 ft,CL-RJ900,1,1,None,16/01/2011 0:00,No damage,SKYWEST AIRLINES,Utah,Take-off run,Rain,TRUE,FALSE,BIRD HIT JUST ABOVE COCKPIT BY EMERG HATCH. INSPN BY MX REVEALED NO OTHER SIGNS OF ANY STRIKE. NO DMG. FLT CONTD. FOUND REMAINS OF 5-6 BIRDS ON RWY.,Small,Overcast,Horned lark,Y,0,0,0,No
309689,Airplane,SANTA BARBARA MUNICIPAL,< 1000 ft,EMB-135,1,1,None,1/01/2011 0:00,No damage,AMERICAN EAGLE AIRLINES,California,Approach,None,FALSE,FALSE,DURING ROUND OUT TO ROLLOUT TRANSITION ON LDG A FLOCK OF BIRDS FLUSHED FROM THE GRASS ON LEFT SIDE OF RWY 25 NEAR THE POINT WHERE RWY 15L AND 15R. PIEGONE SIZED BIRDS FLUSHED FROM GRASS AND ABRUPTLY TURNED HARD RT DOWN THE CENTERLINE DIRECTLY INTO OUR PAT,Medium,No Cloud,Unknown bird - medium,Y,0,10,0,No
309692,Airplane,WILMINGTON INTL,< 1000 ft,CL-RJ100/200,2 to 10,3,None,18/01/2011 0:00,No damage,AIR WISCONSIN AIRLINES,North Carolina,Climb,Fog,FALSE,FALSE,SML SPARROW TYPE BIRDS. NO REMAINS FOUND.,Small,Overcast,Unknown bird - small,N,0,100,0,No
309693,Airplane,GREATER ROCKFORD,< 1000 ft,B-757-200,1,1,None,1/01/2011 0:00,No damage,UPS AIRLINES,Illinois,Landing Roll,None,TRUE,FALSE,STRUCK CENTER OF WINDSHLD. NO DMG. BLOOD ON WINDSCREEN.,Medium,Overcast,Barred owl,Y,0,0,0,Yes
309694,Airplane,LOS ANGELES INTL,< 1000 ft,B-747-400,1,1,None,21/01/2011 0:00,Caused damage,KOREAN AIR,California,Approach,None,TRUE,FALSE,"DMG TO RADOME, ABOUT 18"" MINOR.",Medium,No Cloud,California gull,N,"30,000","1,000",0,No
309695,Airplane,SACRAMENTO INTL,< 1000 ft,B-737-700,11 to 100,78,None,21/01/2011 0:00,No damage,SOUTHWEST AIRLINES,California,Approach,None,TRUE,TRUE,"ID BY SMITHSONIAN. NO DMG. BIRD REMAINS ALL OVER AIRCRAFT. DMG/COST INFO UNAVAILABLE. STARLING TUBE FORMATION, THOUSANDS OF BIRDS.",Small,No Cloud,European starling,Y,0,200,0,Yes
