Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
301577,Airplane,NEW CENTURY AIRCENTER ARPT,> 1000 ft,GULFSTREAM V,1,1,None,18/04/2010 0:00,Caused damage,BUSINESS,Kansas,Descent,None,FALSE,FALSE,RADOME IMPACTED AND LOST PAINT WITH IMPACT DMG. DID NOT PENETRATE RADOME. PAINT SCRAPE RIGHT ABOVE NOSE CONE. LOCATION REPTD AS 30  NE OF KIXD.,Large,No Cloud,Unknown bird - large,"48,256","4,000",0,No
301721,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,EMB-145,1,1,None,19/04/2010 0:00,No damage,FREEDOM AIRLINES,Kentucky,Approach,None,FALSE,FALSE,,Small,No Cloud,Unknown bird - small,0,200,0,No
300630,Airplane,PHOENIX SKY HARBOR,> 1000 ft,A-320,1,1,None,19/04/2010 0:00,No damage,US AIRWAYS,Arizona,Climb,None,FALSE,FALSE,NO DMG.,Small,Some Cloud,Unknown bird - small,0,"8,500",0,No
300125,Airplane,FRONT RANGE ARPT,< 1000 ft,CHALLENGER 300,1,1,None,19/04/2010 0:00,No damage,BUSINESS,Colorado,Approach,None,FALSE,FALSE,SOLID STRIKE.,Small,No Cloud,Unknown bird - small,0,10,0,No
301718,Airplane,ORLANDO SANFORD INTL AIRPORT,< 1000 ft,CIRRUS SR 20/22,1,1,None,19/04/2010 0:00,No damage,BUSINESS,Florida,Landing Roll,Rain,FALSE,FALSE,,Small,Some Cloud,Unknown bird - small,0,0,0,No
301215,Airplane,MINNEAPOLIS-ST PAUL INTL,< 1000 ft,A-319,1,1,None,19/04/2010 0:00,No damage,DELTA AIR LINES,Minnesota,Approach,None,FALSE,FALSE,EXTERNAL LIGHTS ON. SNARGE WIPED CLEAN BY CREW. NONE TAKEN FOR ID.,Small,Some Cloud,Rock pigeon,0,60,0,No
300127,Airplane,SEATTLE-TACOMA INTL,> 1000 ft,EMB-120,1,1,None,19/04/2010 0:00,No damage,SKYWEST AIRLINES,Washington,Approach,None,FALSE,FALSE,LOCATION REPTD AS ELLIOT BAY 10 MILES FROM KSEA. BIRD REPTD AS SMALL & MED.,Medium,No Cloud,Unknown bird - medium,0,"5,000",0,No
300128,Airplane,PHOENIX SKY HARBOR,> 1000 ft,A-321,1,1,None,19/04/2010 0:00,No damage,US AIRWAYS,Arizona,Climb,None,FALSE,FALSE,IMPACT HEARD ACCOMPANIED BY SMEARING ON CAPT WINDSHIELD. ALL INDICATIONS REMAINED NORMAL AND A STANDARD BALANCE OF THE FLT ACHIEVED. CO MX ADVISES OF THE PROBABLE BIRDSTRIKE AND EXAMINED A/C. OTHER THAN CLEANIN WINDSHIELD NO REMEDIAL ACTION NEEDED. LOCATI,Medium,No Cloud,Unknown bird - medium,0,"10,000",0,No
301717,Airplane,DALLAS/FORT WORTH INTL ARPT,> 1000 ft,MD-82,1,1,None,19/04/2010 0:00,No damage,AMERICAN AIRLINES,Texas,Approach,None,FALSE,FALSE,"LOCATION REPTD AS 12 SE DFW. NO DMG. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 1, SAME AS # SEEN.",Small,Some Cloud,Unknown bird - small,0,"3,500",0,No
301419,Airplane,ORLANDO INTL,< 1000 ft,EMB-190,1,1,None,19/04/2010 0:00,No damage,JETBLUE AIRWAYS,Florida,Approach,None,TRUE,FALSE,BIRD WAS FOUND ON RWY AT INTXN OF TWY H9,Small,Some Cloud,Least tern,0,50,0,No
300286,Airplane,PORTLAND INTL (OR),< 1000 ft,PA-31 NAVAJO,1,1,None,19/04/2010 0:00,No damage,AIRPAC,Oregon,Take-off run,None,TRUE,FALSE,"WHILE DEPARTING RY 28R, A/C HIT AN OWL. RWY OPS FOUND REMAINS. NO KNOWN DMG TO A/C. WHICH CONTD TO BFI.",Large,Overcast,Great horned owl,0,0,0,No
300554,Airplane,LOS ANGELES INTL,< 1000 ft,EMB-120,1,1,None,19/04/2010 0:00,Caused damage,SKYWEST AIRLINES,California,Approach,None,FALSE,FALSE,HIT A BIRD ON SHORT FINAL. MINOR DAMAGE TO RADOME AND WINDSHLD. LARGE DENT JUST AFT OF RADOME ON L SIDE OF NOSE. SHEETMETAL REPAIRS WERE MADE BY LAX MECHANICS.,Large,No Cloud,Unknown bird - large,"1,027",550,0,No
300276,Airplane,FORT LAUDERDALE/HOLLYWOOD INTL,< 1000 ft,A-320,1,1,None,19/04/2010 0:00,Caused damage,JETBLUE AIRWAYS,Florida,Approach,None,FALSE,FALSE,,Medium,Some Cloud,Unknown bird - medium,0,200,0,No
300126,Airplane,GENERAL MITCHELL INTL,< 1000 ft,CL-RJ100/200,1,1,None,19/04/2010 0:00,No damage,SKYWEST AIRLINES,Wisconsin,Landing Roll,None,TRUE,FALSE,"ATIS WARNING.NO EVIDENCE OF IMPACT. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 1, SAME AS # SEEN.",Small,Some Cloud,Mourning dove,0,0,0,No
301865,Airplane,HECTOR INTERNATIONAL,< 1000 ft,CL-RJ100/200,1,1,None,20/04/2010 0:00,No damage,SKYWEST AIRLINES,North Dakota,Approach,None,FALSE,FALSE,UPON COMPLETION OF POSTFLT INSPN WE NOTICED A BIRDSTRIKE ON LT NOSE SECTION. AS TO WHERE EXACTLY IT HAPPENED IS INKNWON DUE TO NIGHT FLT CONDITIONS. I REMEMBER A FAINT SOUND RESEMBLING A SMALL BIRDSTRIKE ON FINAL FOR RWY 36 INTO KFAR.,Small,No Cloud,Unknown bird - small,0,"1,000",0,No
301782,Airplane,DALLAS/FORT WORTH INTL ARPT,> 1000 ft,MD-82,1,1,None,20/04/2010 0:00,No damage,AMERICAN AIRLINES,Texas,Approach,None,FALSE,FALSE,(DATA ENTRY NOTE: 1 OF TWO STRIKES FOR THIS A/C ON 20 APR. CONFIRMED WITH CAPT. FLT # MAY BE INCORRECT),Small,No Cloud,Unknown bird - small,0,"1,500",0,No
301487,Airplane,SACRAMENTO INTL,< 1000 ft,EMB-120,1,1,None,20/04/2010 0:00,No damage,SKYWEST AIRLINES,California,Landing Roll,None,TRUE,TRUE,ID BY SMITHSONIAN. FAA 4380. DNA. NO DMG TO A/C.,Small,Some Cloud,Western sandpiper,0,0,0,No
301866,Airplane,ST LOUIS DOWNTOWN,< 1000 ft,DA-20 FALCON,1,1,None,20/04/2010 0:00,No damage,BUSINESS,Illinois,Approach,None,FALSE,FALSE,"SHORT FINAL APRCH AT 60 KIAS TO RWY 30L. NO BIRDS VISIBLE WHILE ON FINAL APRCH AND ONLY ONE BIRD STRUCK.  IT APPEARED AT THE VERY LAST MOMENT AND SWOOPED IN FROM ABOVE, BARELY CLEARING PROP. BIRD WAS BLACK IN COLOR AND SMALL SIZE. STRUCK LOWER FRONT LT PO",Small,Some Cloud,Blackbirds,0,200,0,No
301869,Airplane,BELIZE INTERNATIONAL ARPT,< 1000 ft,B-737-800,1,1,None,21/04/2010 0:00,No damage,AMERICAN AIRLINES,N/A,Approach,None,FALSE,FALSE,DATA ENTRY NOTE: COULD NOT CONFIRM N2DL OR 2DL AS AIRLINE PLANE ID.,Medium,Some Cloud,Unknown bird - medium,0,200,0,Yes
301871,Airplane,GRANT COUNTY ARPT,< 1000 ft,B-777-200,1,1,None,21/04/2010 0:00,No damage,BOEING COMMERCIAL AIRPLANE GRP,Washington,Approach,None,FALSE,FALSE,,Small,Overcast,Unknown bird - small,0,20,0,No
301626,Airplane,DALLAS LOVE FIELD ARPT,> 1000 ft,B-737-300,1,1,None,21/04/2010 0:00,No damage,SOUTHWEST AIRLINES,Texas,Approach,None,FALSE,FALSE,LOCATION REPTD AS 7 MILES N OF KDAL. F/O AND I INSPECTED THE EST AREA OF IMPACT ON A/C AFTER LANDING. SAW NO INDICATIONS OF ANY BIRDSTRIKE.,Medium,No Cloud,Unknown bird - medium,0,"2,500",0,Yes
